kanji,kana,meaningZh,exampleJa,exampleZh
単なる,たんなる ①,仅仅、纯粹,それは単なる噂にすぎません。,那仅仅是传闻而已。
芝居,しばい ⓪,戏剧,週末に友達と芝居を見に行きました。,周末和朋友去看了戏剧。
誕生,たんじょう ⓪,诞生,新しい命の誕生を家族全員で祝いました。,全家人一起庆祝了新生命的诞生。
芝生,しばふ ⓪,草坪,芝生の上でピクニックをするのが好きです。,喜欢在草坪上野餐。
縛る,しばる ②,捆、绑,古い新聞をひもで縛って出しました。,用绳子捆好旧报纸拿了出去。
単純,たんじゅん ⓪,简单、单纯,この機械の使い方は非常に単純です。,这个机器的使用方法非常简单。
屡々,しばしば ①,屡次、常常,この地域ではしばしば地震が起きます。,这个地区经常发生地震。
楽しむ,たのしむ ③,享受、欣赏,週末は家で映画を見て楽しみました。,周末在家里看电影享受生活。
担当,たんとう ⓪,担任、负责,今回のプロジェクトの担当は私です。,这次项目的负责人是我。
死亡,しぼう ⓪,死亡,事故による死亡者は三名でした。,事故导致的死亡人数为三名。
次第に,しだいに ⓪,逐渐,雨は次第に弱くなってきました。,雨逐渐变小了。
倒す,たおす ②,弄倒、打倒,強風で庭の木が倒されてしまいました。,院子里的树被强风吹倒了。
確かめる,たしかめる ④,确认,忘れ物がないか、もう一度確かめてください。,请再确认一下有没有忘带东西。
指導,しどう ⓪,指导,先生の熱心な指導のおかげで合格しました。,多亏老师的热心指导，我合格了。
磁石,じしゃく ①,磁铁,砂遊びで磁石を使って砂鉄を集めました。,玩沙子时用磁铁收集了沙铁。
確か,たしか ①,确切、大概,彼が言ったことは確かだと思います。,我觉得他说的话是确切的。
地面,じめん ①,地面,落ち葉が地面を覆っています。,落叶覆盖了地面。
足下,あしもと ③,脚下、身边,暗いので足下に注意して歩いてください。,天很黑，请注意脚下行走。
湿気,しっけ ⓪,湿气、潮湿,梅雨の時期は家の中の湿気がすごいです。,梅雨季节屋里的湿气很重。
自慢,じまん ⓪,自夸、骄傲,彼は自分の新しい時計を自慢しています。,他在显摆自己的新表。
沈む,しずむ ⓪,沉没、下沉,太陽が水平線の向こうに沈んでいきました。,太阳向水平线的那头沉下去了。
縛る,しばる ②,束缚、捆,規則で時間を縛られるのは嫌いです。,讨厌被规则束缚时间。
締める,しめる ②,系、勒紧,ネクタイを締めて会社に行きます。,系上领带去公司。
地元,じもと ⓪,当地,卒業後は地元の市役所で働きたい。,毕业后想在当地的市政府工作。
湿る,しめる ⓪,变湿、潮湿,雨で服が湿ってしまい、気持ち悪いです。,衣服被雨淋湿了，感觉很不舒服。
下着,したぎ ⓪,内衣,毎日新しい下着に取り替えます。,每天换洗新的内衣。
霜,しも ②,霜,寒い朝、地面に白い霜が降りていました。,寒冷的早晨，地面结了白霜。
邪魔,じゃま ⓪,妨碍,勉強の邪魔をしないでください。,请不要妨碍我学习。
借金,しゃっきん ⓪,借债,借金を返済するために一生懸命働きます。,为了还债，我拼命工作。
集会,しゅうかい ⓪,集会,公園で環境保護のための集会が開かれた。,公园里举行了为了环保的集会。
重大,じゅうだい ⓪,重大,彼は重大なミスを犯してしまいました。,他犯了一个重大的错误。
収穫,しゅうかく ⓪,收获,秋は作物を収穫する忙しい時期です。,秋天是收获农作物的忙碌时节。
重点,じゅうてん ⓪,重点,この章は試験に出るので、重点的に学びます。,这一章会考，所以要重点学习。
集合,しゅうごう ⓪,集合,明日の朝8時に駅の東口に集合してください。,请明天早上8点在车站东出口集合。
渋滞,じゅうたい ⓪,堵塞,事故のせいで、高速道路が渋滞しています。,因为事故，高速公路正在堵车。
修正,しゅうせい ⓪,修正,書類の間違いを修正して再提出した。,修正了文件中的错误并重新提交。
宿泊,しゅくはく ⓪,住宿,温泉旅館に一晩宿泊しました。,在温泉旅馆住了一晚。
集団,しゅうだん ⓪,集团、集体,鳥の集団が南へ飛んでいきました。,一群鸟向南飞去了。
手術,しゅじゅつ ①,手术,彼は昨日、胃の手術を受けました。,他昨天做了胃部手术。
集中,しゅうちゅう ⓪,集中,勉強に集中するために、携帯の電源を切る。,为了集中精力学习，关掉了手机。
首相,しゅしょう ⓪,首相,首相が新しい経済政策を発表しました。,首相宣布了新的经济政策。
収入,しゅうにゅう ⓪,收入,最近、支出が収入を上回って困っています。,最近支出超过了收入，很发愁。
首都,しゅと ①,首都,日本の首都は東京です。,日本的首都是东京。
終点,しゅうてん ⓪,终点,この電車は終点の新宿まで行きます。,这班电车开往终点站新宿。
主任,しゅにん ⓪,主任,彼は開発チームの主任を務めています。,他担任开发团队的主任。
重宝,じゅうほう ①,珍视、便利,このナイフは料理に重宝しています。,这把刀在做饭时非常管用。
主要,しゅよう ⓪,主要,観光客は京都の主要な寺院を訪れます。,游客们游览了京都的主要寺庙。
宿題,しゅくだい ⓪,作业,宿題を忘れて先生に叱られました。,忘了做作业，被老师批评了。
種類,しゅるい ①,种类,この店にはいろいろな種類のケーキがある。,这家店有各种各样的蛋糕。
塾,じゅく ①,补习班,放課後、毎日塾に通っています。,下课后每天都去补习班。
瞬間,しゅんかん ⓪,瞬间,ゴールを決めた瞬間、歓声が上がった。,进球的一瞬间，欢呼声响起。
出勤,しゅっきん ⓪,上班,彼は毎朝8時に出勤します。,他每天早上8点上班。
順序,じゅんじょ ①,顺序,正しい順序で組み立ててください。,请按照正确的顺序组装。
出身,しゅっしん ⓪,出身、籍贯,あなたの出身はどちらですか。,你的家乡在哪里？
準備,じゅんび ①,准备,明日の試験の準備はもうできましたか。,明天考试的准备做好了吗？
出席,しゅっせき ⓪,出席,明日の会議には必ず出席してください。,明天的会议请务必出席。
少々,しょうしょう ①,稍微、一些,塩を少々加えて味を調えます。,加少许盐调味。
出発,しゅっぱつ ⓪,出发,電車は定刻通りに出発しました。,电车准时出发了。
正午,しょうご ①,正午,正午に学校のチャイムが鳴ります。,正午学校的铃声响了。
出版,しゅっぱん ⓪,出版,彼の新しい小説が来月出版されます。,他的新小说下个月出版。
商品,しょうひん ①,商品,この商品は非常に人気があります。,这个商品非常受欢迎。
主張,しゅちょう ⓪,主张、坚持,彼は自分の意見を強く主張しました。,他强烈主张自己的意见。
勝負,しょうぶ ①,胜负、比赛,最後の最後まで勝負はわかりません。,比赛不到最后不知胜负。
首相,しゅしょう ⓪,首相,外国の首相が日本を訪問しました。,外国首相访问了日本。
消費,しょうひ ⓪,消费,電気の消費を抑えるために節電します。,为了减少电力消费而省电。
手段,しゅだん ①,手段、方式,交通手段として自転車を使っています。,作为交通工具使用自行车。
症状,しょうじょう ③,症状,風邪の症状がひどくなってきた。,感冒的症状变得严重了。
主婦,しゅふ ①,家庭主妇,彼女は家事と育児をこなす専業主婦です。,她是兼顾家务和育儿的全职主妇。
正直,しょうじき ③,正直、老实,彼は自分の間違いを正直に認めました。,他老实地承认了自己的错误。
保存,ほぞん ⓪,保存,作成したファイルを保存してください。,请保存创建的文件。
宛先,あてさき ⓪,收件地址,メールの宛先を間違えてしまった。,搞错了邮件的收件人。
湯,ゆ ①,热水,お風呂にお湯を入れました。,往浴缸里倒了热水。
咳,せき ②,咳嗽,喉が痛くて、咳が止まらない。,嗓子痛，咳嗽不止。
救助,きゅうじょ ①,救助,事故現場で、負傷者の救助が行われた。,事故现场进行了伤员营救。
給料,きゅうりょう ①,工资,彼は、毎月の給料を貯金している。,他把每月的工资都存了起来。
休暇,きゅうか ⓪,假期,来週から、一週間の休暇を取ります。,从下周开始请一周假。
休憩,きゅうけい ⓪,休息,疲れたので、少し休憩しましょう。,累了，稍微休息一下吧。
石炭,せきたん ③,煤炭,この発電所では、石炭を燃やしている。,这家发电厂在燃烧煤炭。
石油,せきゆ ⓪,石油,最近は石油の価格が上がっている。,最近石油价格在上涨。
調子,ちょうし ⓪,情况、状态,体の調子がいいので、散歩に行きます。,身体状态不错，去散个步。
会う,あう ①,见面,駅で、友達と会う約束をした。,约好在车站和朋友见面。
開ける,あける ⓪,打开,部屋が暑いので、窓を開けました。,房间很热，所以打开了窗户。
集まる,あつまる ③,聚集,公園に、たくさんの人が集まった。,公园里聚集了很多人。
続ける,つづける ⓪,继续,諦めないで、勉強を続けてください。,请不要放弃，继续学习。
始まる,はじまる ⓪,开始,コンサートは、七時に始まります。,音乐会七点开始。
終わる,おわる ⓪,结束,テストが終わって、安心しました。,考试结束了，放心了。
出る,でる ①,出、出去,朝八時に、家を出ました。,早上八点离开了家。
入れる,いれる ⓪,放入,バッグに、財布を入れました。,往包里放了钱包。
売る,うる ⓪,卖,古い本を、古本屋に売った。,把旧书卖给了旧书店。
持つ,もつ ①,拿着、持有,重い荷物を、両手で持ちました。,用双手拿了沉重的行李。
知る,しる ⓪,知道,彼の連絡先を、知っていますか。,你知道他的联系方式吗？
使う,つかう ⓪,使用,鉛筆を使って、絵を描きました。,用铅笔画了画。
聞く,きく ⓪,听、询问,音楽を聞きながら、勉強します。,边听音乐边学习。
読む,よむ ①,读,毎晩、寝る前に本を読みます。,每晚睡觉前读书。
言う,いう ⓪,说,先生に、お礼を言いました。,向老师表示了感谢。
運,うん ①,运气,彼は、とても運がいい人です。,他是个运气很好的人。
運転,うんてん ⓪,驾驶,彼は、車の運転がとても上手です。,他开车开得非常好。
運動,うんどう ⓪,运动,健康のために、毎日運動しています。,为了健康每天都在运动。
挨拶,あいさつ ①,问候,元気よく挨拶をしましょう。,让我们精神抖擞地打个招呼吧。
愛情,あいじょう ⓪,爱情,彼は子供に深い愛情を持っている。,他对孩子怀有深厚的爱。
合図,あいず ①,暗号、信号,彼は目で合図を送った。,他用眼神传递了信号。
愛する,あいする ③,爱,彼は家族を深く愛している。,他深爱着他的家人。
あいにく,あいにく ⓪,不凑巧,あいにく、今日は雨ですね。,不凑巧，今天下雨呢。
明かり,あかり ①,灯光,部屋の明かりを消しました。,关掉了房间的灯。
空き,あき ⓪,空位、空间,駐車場に空きがありません。,停车场没有空位。
明らか,あきらか ②,明显,彼のミスは明らかです。,他的错误很明显。
飽きる,あきる ②,厌烦,毎日同じものばかりで飽きた。,每天都是同样的东西，腻了。
握手,あくしゅ ①,握手,試合の後、二人は握手した。,比赛结束后，两人握了手。
嵐,あらし ①,暴风雨,昨夜はひどい嵐だった。,昨晚是场可怕的暴风雨。
表す,あらわす ③,表达、表示,感謝の気持ちを言葉で表す。,用言语表达感激之情。
現れる,あらわれる ④,出现,霧の中から船が現れた。,雾中出现了一艘船。
アルバム,アルバム ⓪,相册,昔のアルバムを見て懐かしむ。,看着旧相册感到怀念。
泡,あわ ②,泡、泡沫,石鹸の泡で手を洗う。,用肥皂泡洗手。
合わせる,あわせる ③,结合、对齐,手を合わせて祈りました。,合掌祈祷了。
安定,あんてい ⓪,安定,生活が安定してきました。,生活逐渐安定了下来。
案内,あんない ③,引导、导游,街を案内してくれました。,帮我带路游览了街道。
幾つ,いくつ ①,几个,卵は幾つありますか。,有几个鸡蛋？
幾ら,いくら ①,多少钱,この本は幾らですか。,这本书多少钱？
医師,いし ①,医生,彼は有名な医師です。,他是一位著名的医生。
維持,いじ ①,维持,健康を維持するために歩く。,为了维持健康而走路。
意識,いしき ①,意识,事故で意識を失いました。,在事故中失去了意识。
異常,いじょう ⓪,异常,機械に異常が見つかった。,机器发现了异常。
椅子,いす ⓪,椅子,椅子に座って休みましょう。,坐在椅子上休息吧。
岩,いわ ②,岩石,大きな岩が道を塞いでいる。,大岩石挡住了路。
祝い,いわい ③,祝贺,出産のお祝いを贈った。,送了生产祝贺礼。
祝う,いわう ②,祝贺,友達の誕生日を祝いました。,庆祝了朋友的生日。
言わば,いわば ①,换言之,彼は言わば私の恩人です。,他换言之是我的恩人。
いわゆる,いわゆる ③,所谓的,彼は、いわゆる天才です。,他是所谓的数学天才。
印刷,いんさつ ⓪,印刷,資料を百枚印刷した。,打印了100份资料。
引退,いんたい ⓪,引退,彼は選手を引退しました。,他退出了运动员生涯。
宇宙,うちゅう ①,宇宙,宇宙旅行が夢です。,太空旅行是我的梦想。
宣伝,せんでん ⓪,宣传,新商品の宣伝のためにテレビCMを流しました。,为了宣传新产品，播放了电视广告。
太陽,たいよう ①,太阳,太陽の光を浴びて、植物が育ちます。,沐浴着阳光，植物生长。
先日,せんじつ ⓪,前几天、前些日子,先日はお忙しい中、ありがとうございました。,前些日子在百忙之中，非常感谢。
滞在,たいざい ⓪,停留、逗留,日本に三ヶ月間滞在する予定です。,打算在日本停留三个月。
専攻,せんこう ⓪,专业、专攻,大学では経済学を専攻しています。,在大学里专业是经济学。
専門,せんもん ⓪,专门、专业,彼の専門は人工知能の研究です。,他的专业是人工智能研究。
宝,たから ⓪,宝物,家族は私にとって一番の宝です。,家人对我来说是最珍贵的宝物。
専門家,せんもんか ⓪,专家,この問題について、専門家に相談しましょう。,关于这个问题，咨询一下专家吧。
弾,たま ②,子弹、弹丸,犯人は空に向かって弾を撃ちました。,犯人朝着天空发射了子弹。
選手,せんしゅ ①,选手、运动员,彼はオリンピックの選手に選ばれました。,他被选为奥林匹克运动员。
貯まる,たまる ⓪,积攒、存下,毎日少しずつお金が貯まってきました。,每天一点点，钱终于攒下来了。
選択,せんたく ①,选择,将来の道を選択するのは自分自身です。,选择未来的道路是靠你自己。
貯める,ためる ⓪,存（钱）、积累,旅行に行くために、アルバイトでお金を貯める。,为了去旅行，打工存钱。
説,せつ ①,学说、说法,この病気の原因にはいろいろな説があります。,关于这种病的起因有各种说法。
試し,ためし ③,尝试、试用,試しに一度このソフトを使ってみてください。,请试着使用一下这个软件。
設備,せつび ①,设备、设施,このジムは最新の設備が整っています。,这家健身房配备了最新的设施。
試す,ためす ②,尝试、测试,新しい化粧品を肌で試してみました。,在皮肤上试用了新的化妆品。
節約,せつやく ⓪,节约,生活費を節約するために、自炊をしています。,为了节约生活费，我坚持自己做饭。
種,たね ①,种子、种类,庭に花の種をまきました。,在院子里撒了花的种子。
喋る,しゃべる ②,谈话、聊天,彼女は友達と楽しそうにお喋りしています。,她正和朋友愉快地聊天。
谷,たに ②,山谷,谷の底をきれいな川が流れています。,山谷底部流淌着清澈的河流。
車道,しゃどう ⓪,车行道,車道を歩くのは危ないので歩道を歩きましょう。,走车行道很危险，请走人行道。
社員,しゃいん ①,职员,彼は大手自動車会社の社員です。,他是一家大型汽车公司的职员。
借金,しゃっきん ⓪,借款、债,彼は多額の借金を抱えています。,他背负着巨额债务。
他人,たにん ⓪,他人、别人,他人の意見に振り回されないようにしよう。,尽量不要被他人的意见所左右。
詩,し ①,诗歌,彼は美しい自然についての詩を書きました。,
他写了一首关于美丽大自然的诗。 ,,,,
,,,,
幸せ,しあわせ ⓪,幸福,家族と過ごす時間が一番の幸せです。,和家人度过的时光是最幸福的。
単なる,たんなる ①,仅仅、纯粹,それは単なる噂にすぎません。,那仅仅是传闻而已。
芝居,しばい ⓪,戏剧,週末に友達と芝居を見に行きました。,周末和朋友去看了戏剧。
誕生,たんじょう ⓪,诞生,新しい命の誕生を家族全員で祝いました。,全家人一起庆祝了新生命的诞生。
芝生,しばふ ⓪,草坪,芝生の上でピクニックをするのが好きです。,喜欢在草坪上野餐。
縛る,しばる ②,捆、绑,古い新聞をひもで縛って出しました。,用绳子捆好旧报纸拿了出去。
単純,たんじゅん ⓪,简单、单纯,この機械の使い方は非常に単純です。,这个机器的使用方法非常简单。
屡々,しばしば ①,屡次、常常,この地域ではしばしば地震が起きます。,这个地区经常发生地震。
楽しむ,たのしむ ③,享受、欣赏,週末は家で映画を見て楽しみました。,周末在家里看电影享受生活。
担当,たんとう ⓪,担任、负责,今回のプロジェクトの担当は私です。,这次项目的负责人是我。
死亡,しぼう ⓪,死亡,事故による死亡者は三名でした。,事故导致的死亡人数为三名。
次第に,しだいに ⓪,逐渐,雨は次第に弱くなってきました。,雨逐渐变小了。 
倒す,たおす ②,弄倒、打倒,強風で庭の木が倒されてしまいました。,院子里的树被强风吹倒了。
指導,しどう ⓪,指导,先生の熱心な指導のおかげで合格しました。,多亏老师的热心指导，我合格了。
磁石,じしゃく ①,磁铁,砂遊びで磁石を使って砂鉄を集めました。,玩沙子时用磁铁收集了沙铁。
地面,じめん ①,地面,落ち葉が地面を覆っています。,落叶覆盖了地面。
自慢,じまん ⓪,自夸、骄傲,彼は自分の新しい時計を自慢しています。,他在显摆自己的新表。
沈む,しずむ ⓪,沉没、下沉,太陽が水平線の向こうに沈んでいきました。,太阳向水平线的那头沉下去了。
締める,しめる ②,系、勒紧,ネクタイを締めて会社に行きます。,系上领带去公司。
地元,じもと ⓪,当地,卒業後は地元の市役所で働きたい。,毕业后想在当地的市政府工作。
湿る,しめる ⓪,变湿、潮湿,雨で服が湿ってしまい、気持ち悪いです。,衣服被雨淋湿了，感觉很不舒服。
下着,したぎ ⓪,内衣,毎日新しい下着に取り替えます。,每天换洗新的内衣。
霜,しも ②,霜,寒い朝、地面に白い霜が降りていました。,寒冷的早晨，地面结了白霜。
邪魔,じゃま ⓪,妨碍,勉強の邪魔をしないでください。,请不要妨碍我学习。
集会,しゅうかい ⓪,集会,公園で環境保護のための集会が開かれた。,公园里举行了为了环保的集会。
重大,じゅうだい ⓪,重大,彼は重大なミスを犯してしまいました。,他犯了一个重大的错误。
収穫,しゅうかく ⓪,收获,秋は作物を収穫する忙しい時期です。,秋天是收获农作物的忙碌时节。
重点,じゅうてん ⓪,重点,この章は試験に出るので、重点的に学びます。,这一章会考，所以要重点学习。
集合,しゅうごう ⓪,集合,明日の朝8時に駅の東口に集合してください。,请明天早上8点在车站东出口集合。
渋滞,じゅうたい ⓪,堵塞,事故のせいで、高速道路が渋滞しています。,因为事故，高速公路正在堵车。
修正,しゅうせい ⓪,修正,書類の間違いを修正して再提出した。,修正了文件中的错误并重新提交。
宿泊,しゅくはく ⓪,住宿,温泉旅館に一晩宿泊しました。,在温泉旅馆住了一晚。
集団,しゅうだん ⓪,集团、集体,鳥の集団が南へ飛んでいきました。,一群鸟向南飞去了。
収入,しゅうにゅう ⓪,收入,最近、支出が収入を上回って困っています。,最近支出超过了收入，很发愁。
首都,しゅと ①,首都,日本の首都は東京です。,日本的首都是东京。
終点,しゅうてん ⓪,终点,この電車は終点の新宿まで行きます。,这班电车开往终点站新宿。
主任,しゅにん ⓪,主任,彼は開発チームの主任を務めています。,他担任开发团队的主任。
重宝,じゅうほう ①,珍视、便利,このナイフは料理に重宝しています。,这把刀在做饭时非常管用。
主要,しゅよう ⓪,主要,観光客は京都の主要な寺院を访れます。,游客们游览了京都的主要寺庙。
塾,じゅく ①,补习班,放課後、毎日塾に通っています。,下课后每天都去补习班。
順序,じゅんじょ ①,顺序,正しい順序で組み立ててください。,请按照正确的顺序组装。
出席,しゅっせき ⓪,出席,明日の会議には必ず出席してください。,明天的会议请务必出席。
正午,しょうご ①,正午,正午に学校のチャイムが鳴ります。,正午学校的铃声响了。
出版,しゅっぱん ⓪,出版,彼の新しい小説が来月出版されます。,他的新小说下个月出版。
主張,しゅちょう ⓪,主张、坚持,彼は自分の意見を強く主張しました。,他强烈主张自己的意见。
勝負,しょうぶ ①,胜负、比赛,最後の最後まで勝負はわかりません。,比赛不到最后不知胜负。
消費,しょうひ ⓪,消费,電気の消費を抑えるために節電します。,为了减少电力消费而省电。
手段,しゅだん ①,手段、方式,交通手段として自転車を使っています。,作为交通工具使用自行车。
症状,しょうじょう ③,症状,風邪の症状がひどくなってきた。,感冒的症状变得严重了。
主婦,しゅふ ①,家庭主妇,彼女は家事と育児をこなす専業主婦です。,她是兼顾家务和育儿的全职主妇。
正直,しょうじき ③,正直、老实,彼は自分の間違いを正直に認めました。,他老实地承认了自己的错误。
正当,せいとう ⓪,正当,それは正当な理由だと言える。,可以说那是正当的理由。
承認,しょうにん ⓪,承认、批准,契約内容が承認されました。,合同内容被批准了。
正面,しょうめん ③,正面,建物の正面に駐車場があります。,建筑物的正面有停车场。
消防,しょうぼう ⓪,消防,火事のときは消防車が来ます。,起火时，消防车会赶来。
証明,しょうめい ⓪,证明,彼の無実を証明したい。,想要证明他的清白。
消息,しょうそく ⓪,消息,彼の消息はまだわからない。,他的下落仍然不明。
商店,しょうてん ①,商店,この街には古い商店が多い。,这个镇上老商店很多。
書物,しょもつ ①,书籍,彼は多くの書物を持っています。,他拥有很多书籍。
承知,しょうち ⓪,知晓、同意,その件については承知いたしました。,那个件事我已经知道了。
情報,じょうほう ⓪,情报、信息,正確な情報を得ることが重要だ。,获取准确的信息很重要。
職場,しょくば ⓪,职场,新しい職場に慣れてきました。,已经适应了新的职场。
職員,しょくいん ②,职员,市役所の職員に尋ねました。,询问了市政府的职员。
職業,しょくぎょう ②,职业,将来の職業について考えよう。,考虑一下将来的职业吧。
食欲,しょくよく ⓪,食欲,暑さのせいで食欲がありません。,因为天热，没有食欲。
食料,しょくりょう ②,食料,非常時のための食料を準備する。,准备应急用的食物。
食料品,しょくりょうひん ④,食品、食料品,スーパーで食料品を買った。,在超市买了食品。 
助教授,じょきょうじゅ ③,副教授,彼は大学の助教授です。,他是大学的副教授。
助手,じょしゅ ⓪,助手,実験で助手を務めました。,在实验中担任了助手。
署名,しょめい ⓪,署名,这里に署名をお願いします。,请在这里签名。
報告,ほうこく ⓪,报告,調査の結果を報告しました。,报告了调查结果。
書類,しょるい ⓪,书类、文件,大切な書類をなくしてしまった。,丢了重要的文件。
進化,しんか ①,进化,人類は長い年月をかけて進化した。,人类经过漫长岁月进化了。
親戚,しんせき ⓪,亲戚,お正月に親戚が集まった。,元旦亲戚们聚在了一起。
新鮮,しんせん ⓪,新鲜,新鮮な野菜をたくさん食べたい。,想要吃很多新鲜蔬菜。
身体,しんたい ①,身体,強い身体を作るために運動する。,为了强身健体而运动。
心臓,しんぞう ⓪,心脏,緊張で心臓がどきどきした。,紧张得心跳加快。
慎重,しんちょう ⓪,慎重,慎重に計画を進めなければならない。,必须慎重推进计划。
信徒,しんと ①,信徒,彼は熱心なキリスト教の信徒だ。,他是一名虔诚的基督教徒。
進歩,しんぽ ①,进步,科学技術は急速に進歩している。,科学技术正在飞速进步。
親友,しんゆう ⓪,亲友、密友,彼とは中学生のときからの親友だ。,我和他从初中起就是密友。
信用,しんよう ⓪,信用,彼は誰からも信用されている。,他受到所有人的信任。
心理,しんり ①,心理,子供の心理を理解するのは難しい。,理解孩子的心理很难。
人類,じんるい ①,人类,人類は地球を守る責任がある。,人类有责任守护地球。
巣,す ①,巢、窝,木の上に鳥の巣がある。,树上有个鸟巢。
図,ず ⓪,图,この図を見て説明してください。,请看这张图进行说明。
数字,すうじ ⓪,数字,数字の間違いがないか確認した。,确认了数字有没有搞错。
滑る,すべる ②,滑、滑行,雪道で滑って転びました。,在雪地上滑倒了。
既に,すでに ①,已经,彼は既に帰宅していました。,他已经回家了。
姿,すがた ①,姿态、身影,彼の後ろ姿が小さくなっていく。,他的背影逐渐变小。
保存,ほぞん ⓪,保存,作成したファイルを保存してください。,请保存创建的文件。 
宛先,あてさき ⓪,收件地址,メールの宛先を間違えてしまった。,搞错了邮件的收件人。
湯,ゆ ①,热水,お風呂にお湯を入れました。,往浴缸里倒了热水。
救助,きゅうじょ ①,救助,事故現場で、負傷者の救助が行われた。,事故现场进行了伤员营救。 
給料,きゅうりょう ①,工资,彼は、毎月の給料を貯金している。,他把每月的工资都存了起来。 
休暇,きゅうか ⓪,假期,来週から、一週間の休暇を取ります。,从下周开始请一周假。
休憩,きゅうけい ⓪,休息,疲れたので、少し休憩しましょう。,累了，稍微休息一下吧。
調子,ちょうし ⓪,情况、状态,体の調子がいいので、散歩に行きます。,身体状态不错，去散个步。
受かる,うかる ②,考上、考中,努力の結果、志望校に受かりました。,努力的结果是考上了理想的学校。
浮く,うく ⓪,浮、漂,水に木の葉が浮いています。,水面上漂着树叶。
受ける,うける ②,接受、参加,来月、日本語能力試験を受けます。,下个月参加日语能力测试。
動かす,うごかす ③,移动、搬动,重い机を二人で動かしました。,两个人一起搬动了沉重的桌子。
動く,うごく ②,动、运行,この時計はもう動いていません。,这个表已经不走了。
牛,うし ⓪,牛,牧場でたくさんの牛が草を食べている。,牧场里有很多牛在吃草。
嘘,うそ ①,谎言,嘘をつくのは良くないことです。,说谎是不好的行为。
奪う,うばう ②,夺取、抢夺,彼は彼女の心を奪いました。,他夺走了她的心。
運賃,うんちん ①,运费、票价,バスと電車の運賃が値上がりしました。,巴士和电车的票价上涨了。
影響,えいきょう ⓪,影响,台風の影響で、電車が遅れています。,受台风影响，电车晚点。
営業,えいぎょう ⓪,营业,この店は、24時間営業しています。,这家店24小时营业。
衛星,えいせい ①,卫星,人工衛星が地球の周りを回っています。,人造卫星绕着地球转。
栄養,えいよう ⓪,营养,健康のために、栄養のバランスを考えます。,为了健康，考虑营养平衡。
笑顔,えがお ①,笑容,彼女の笑顔は、周りの人を幸せにします。,她的笑容让周围的人感到幸福。
描く,えがく ②,描绘、画,彼は将来の夢を絵に描きました。,他把未来的梦想画成了画。
餌,えさ ②,饵、饲料,公園で鳥に餌をあげないでください。,请不要在公园里喂鸟。
枝,えだ ⓪,枝、树枝,強風で木の枝が折れてしまいました。,强风把树枝折断了。
延期,えんき ⓪,延期,雨のため、試合は来週に延期されました。,因为下雨，比赛延期到了下周。
演技,えんぎ ①,演技,彼の迫力ある演技に感動しました。,被他有魄力的演技感动了。
援助,えんじょ ①,援助,途上国の発展を援助することが重要だ。,援助发展中国家的发展很重要。
演説,えんぜつ ⓪,演说、演讲,政治家が街頭で演説をしています。,政治家正在街头进行演讲。
演奏,えんそう ⓪,演奏,彼女はピアノを上手に演奏しました。,她出色地演奏了钢琴。
御祝い,おいわい ⓪,祝贺、礼品,友達の結婚のお祝いを贈りました。,送了朋友结婚的贺礼。
応接,おうせつ ⓪,接待、应接,応接室で、お客様をお待ちしています。,在接待室等候客人。
応対,おうたい ⓪,应付、接待,彼は電話の応対がとても丁寧です。,他接电话非常有礼貌。
応援,おうえん ⓪,助威、支援,自分の好きなチームを一生懸命応援する。,拼命为自己喜欢的团队加油。
王,おう ①,王,歴史の教科書で古い国の王について学ぶ。,在历史教科书里学习古代国家的王。
王子,おうじ ①,王子,童話の中の王子様が馬に乗って現れた。,童话里的王子骑着马出现了。
王女,おうじょ ①,公主,彼女は、その国の美しい王女です。,她是那个国家美丽的公主。
横断,おうだん ⓪,横断、横穿,道路を横断するときは、車に注意する。,横穿马路时要注意车辆。
終える,おえる ⓪,完成、结束,午後五時までに仕事を終える予定です。,计划在下午五点前完成工作。
お金持ち,おかねもち ③,有钱人,彼は成功してお金持ちになりました。,他成功后成了有钱人。
起きる,おきる ②,起床、发生,毎朝六時に起きるのが私の習慣です。,每天早上六点起床是我的习惯。
奥,おく ①,内部、深处,山の奥には、珍しい植物があります。,深山里有稀有的植物。
贈る,おくる ⓪,赠送,母の日に、カーネーションを贈りました。,母亲节送了康乃馨。
起こる,おこる ②,发生,地震が起こったときは、慌てないで。,发生地震时，不要惊慌。
押さえる,おさえる ③,压、按住,帽子が飛ばないように手で押さえました。,用手按住帽子以免被吹走。
幼い,おさない ③,幼小的、幼稚的,彼は幼い頃から音楽の才能がありました。,他从小就有音乐天赋。
お洒落,おしゃれ ②,时尚、爱打扮,彼女はいつもお洒落な服を着ています。,她总是穿着时髦的衣服。
お互い,おたがい ⓪,互相,困ったときはお互い様です。,遇到困难时互相帮助是理所当然的。
お宅,おたく ⓪,您府上、您家,明日の午後、先生のお宅を伺います。,明天下午去拜访老师家。
落ちる,おちる ②,落下、掉,木からリンゴが落ちました。,苹果从树上掉下来了。
落ち着く,おちつく ⓪,沉着、安定,深呼吸をして、心を落ち着かせました。,深呼吸，让心情平静下来。
夫,おっと ⓪,丈夫,私の夫は、銀行で働いています。,我的丈夫在银行工作。
訪れる,おとずれる ④,访问、到来,毎年多くの観光客が京都を訪れます。,每年都有很多游客访问京都。
お供,おとも ⓪,随从、陪同,私も一緒にお供してもよろしいですか。,我也可以一起陪同吗？
